Name,Kilometers Driven,Year of Manufacture,Fuel Type,Transmission,Price,Location,Number of owners
Mahindra XUV700 AX7,25000,2022,Petrol,Automatic,1850000,Mumbai,1
Mahindra Scorpio N Z8,12000,2023,Diesel,Manual,1790000,Mumbai,1
Mahindra Thar CRDe,42000,2020,Diesel,Manual,950000,Mumbai,2
Mahindra Bolero Plus,88000,2018,Diesel,Manual,380000,Mumbai,3
Mahindra XUV300 W8,35000,2021,Petrol,Manual,720000,Mumbai,1
Mahindra Marazzo M8,56000,2019,Diesel,Manual,640000,Mumbai,2
Mahindra Scorpio Classic,92000,2017,Diesel,Manual,300000,Mumbai,4
Mahindra XUV500 W6,105000,2016,Diesel,Manual,270000,Mumbai,3
Mahindra KUV100 NXT,47000,2018,Petrol,Manual,450000,Mumbai,2
Mahindra Quanto,98000,2015,Diesel,Manual,220000,Mumbai,4
Mahindra Xylo D4,112000,2014,Diesel,Manual,180000,Mumbai,5
Mahindra Verito Vibe,76000,2016,Diesel,Manual,210000,Mumbai,3
Mahindra Alturas G4,30000,2019,Diesel,Automatic,1850000,Mumbai,1
Mahindra Bolero Neo,54000,2018,Diesel,Manual,420000,Mumbai,2
Mahindra XUV300 N10,29000,2020,Petrol,Automatic,830000,Mumbai,1
Mahindra TUV300 T8,68000,2017,Diesel,Manual,330000,Mumbai,3
Mahindra eKUV100,15000,2021,Electric,Automatic,750000,Mumbai,1
Mahindra XUV700 AX5,45000,2022,Petrol,Manual,1550000,Mumbai,1
Mahindra Scorpio S11,36000,2021,Diesel,Automatic,1290000,Mumbai,1
Mahindra Thar LX,8000,2024,Petrol,Automatic,1250000,Mumbai,1
Mahindra XUV700 Lux,60000,2020,Diesel,Automatic,1650000,Mumbai,2
Mahindra Scorpio Classic S10,99000,2016,Diesel,Manual,260000,Mumbai,4
Mahindra KUV100 N10,41000,2019,Petrol,Manual,380000,Mumbai,2
Mahindra XUV400 EV,22000,2022,Electric,Automatic,1250000,Mumbai,1
Mahindra Bolero Camper,132000,2012,Diesel,Manual,150000,Mumbai,5
Mahindra Alturas G4 ZX,26000,2020,Diesel,Automatic,1780000,Mumbai,1
Mahindra Xylo H8,105000,2013,Diesel,Manual,160000,Mumbai,4
Mahindra Marazzo M4,72000,2018,Diesel,Manual,520000,Mumbai,3
Mahindra Thar AX Di,88000,2015,Diesel,Manual,600000,Mumbai,4
Mahindra XUV300 K6,23000,2021,Petrol,Manual,680000,Mumbai,1
Toyota Innova Crysta ZX,45000,2021,Diesel,Automatic,2250000,Mumbai,1
Toyota Urban Cruiser,22000,2022,Petrol,Manual,1050000,Mumbai,1
Toyota Fortuner 4x2,70000,2019,Diesel,Automatic,3200000,Mumbai,2
Toyota Glanza V,35000,2020,Petrol,Manual,750000,Mumbai,1
Toyota Camry Hybrid,60000,2018,Petrol Hybrid,Automatic,1950000,Mumbai,2
Toyota Yaris J,90000,2017,Petrol,Manual,380000,Mumbai,3
Toyota Etios GD,78000,2016,Diesel,Manual,420000,Mumbai,2
Toyota Corolla Altis,65000,2017,Petrol,Automatic,950000,Mumbai,2
Toyota Innova 2.5 V,98000,2015,Diesel,Manual,850000,Mumbai,3
Toyota Fortuner 4x4 AT,55000,2020,Diesel,Automatic,3750000,Mumbai,1
Toyota Land Cruiser Prado,130000,2014,Diesel,Automatic,6500000,Mumbai,2
Toyota Glanza G,42000,2021,Petrol,Manual,880000,Mumbai,1
Toyota Hyryder V Hybrid,12000,2023,Petrol Hybrid,Automatic,2150000,Mumbai,1
Kia Seltos HTK,30000,2021,Petrol,Manual,1150000,Mumbai,1
Kia Sonet GTX+,20000,2022,Diesel,Automatic,1250000,Mumbai,1
Kia Carnival Limousine,50000,2020,Diesel,Automatic,2800000,Mumbai,2
Kia Carens Prestige,42000,2020,Petrol,Manual,950000,Mumbai,1
Kia Seltos X-Line,65000,2019,Petrol,Manual,820000,Mumbai,2
Kia Stonic,83000,2018,Petrol,Manual,460000,Mumbai,3
Kia Seltos HTX Plus,48000,2020,Petrol,Automatic,1450000,Mumbai,2
Kia Sonet HTK Plus,39000,2021,Petrol,Manual,900000,Mumbai,1
Kia Carens Luxury Plus,25000,2022,Diesel,Automatic,1650000,Mumbai,1
Kia EV6 GT Line,8000,2023,Electric,Automatic,6100000,Mumbai,1
Kia Rio,72000,2017,Petrol,Manual,380000,Mumbai,2
Kia Sportage LX,93000,2018,Diesel,Automatic,900000,Mumbai,2
Kia Seltos GTX,52000,2019,Diesel,Manual,1150000,Mumbai,2
