Name,Kilometers Driven,Year of Manufacture,Fuel Type,Transmission,Price,Location,Number of owners
Toyota Innova Crysta ZX,45000,2021,Diesel,Automatic,2250000,Mumbai,1
Toyota Urban Cruiser,22000,2022,Petrol,Manual,1050000,Mumbai,1
Toyota Fortuner 4x2,70000,2019,Diesel,Automatic,3200000,Mumbai,2
Toyota Glanza V,35000,2020,Petrol,Manual,750000,Mumbai,1
Toyota Camry Hybrid,60000,2018,Petrol Hybrid,Automatic,1950000,Mumbai,2
Toyota Yaris J,90000,2017,Petrol,Manual,380000,Mumbai,3
Toyota Etios GD,78000,2016,Diesel,Manual,420000,Mumbai,2
Toyota Corolla Altis,65000,2017,Petrol,Automatic,950000,Mumbai,2
Toyota Innova 2.5 V,98000,2015,Diesel,Manual,850000,Mumbai,3
Toyota Fortuner 4x4 AT,55000,2020,Diesel,Automatic,3750000,Mumbai,1
Toyota Land Cruiser Prado,130000,2014,Diesel,Automatic,6500000,Mumbai,2
Toyota Glanza G,42000,2021,Petrol,Manual,880000,Mumbai,1
Toyota Hyryder V Hybrid,12000,2023,Petrol Hybrid,Automatic,2150000,Mumbai,1
