Name,Kilometers Driven,Year of Manufacture,Fuel Type,Transmission,Price,Location,Number of owners
Kia Seltos HTK,30000,2021,Petrol,Manual,1150000,Mumbai,1
Kia Sonet GTX+,20000,2022,Diesel,Automatic,1250000,Mumbai,1
Kia Carnival Limousine,50000,2020,Diesel,Automatic,2800000,Mumbai,2
Kia Carens Prestige,42000,2020,Petrol,Manual,950000,Mumbai,1
Kia Seltos X-Line,65000,2019,Petrol,Manual,820000,Mumbai,2
Kia Stonic,83000,2018,Petrol,Manual,460000,Mumbai,3
Kia Seltos HTX Plus,48000,2020,Petrol,Automatic,1450000,Mumbai,2
Kia Sonet HTK Plus,39000,2021,Petrol,Manual,900000,Mumbai,1
Kia Carens Luxury Plus,25000,2022,Diesel,Automatic,1650000,Mumbai,1
Kia EV6 GT Line,8000,2023,Electric,Automatic,6100000,Mumbai,1
Kia Rio,72000,2017,Petrol,Manual,380000,Mumbai,2
Kia Sportage LX,93000,2018,Diesel,Automatic,900000,Mumbai,2
Kia Seltos GTX,52000,2019,Diesel,Manual,1150000,Mumbai,2
